Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw1_S2,1,38.1074,-121.6469,2017-08-23,10SFH,0.0226,0.0186,0.0444,0.0407,0.0763,0.2019,0.259,0.2678,0.0418,0.0013,0.1521,0.0863,0.2955,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-09-02,10SFH,0.023,0.0241,0.0484,0.0447,0.0758,0.1992,0.255,0.2614,0.0388,0.001,0.1521,0.0837,0.2889,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-09-12,10SFH,0.1261,0.1172,0.1395,0.1811,0.1729,0.1974,0.2151,0.2179,0.0719,0.0066,0.1551,0.1124,0.2273,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-09-22,10SFH,0.0192,0.0197,0.0459,0.0496,0.0817,0.1913,0.2416,0.252,0.078,0.0011,0.1545,0.0883,0.2763,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-09-27,10SFH,0.022,0.0162,0.0384,0.0449,0.0814,0.1884,0.2351,0.2453,0.0834,0.0012,0.1518,0.0854,0.2739,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-10-02,10SFH,0.0226,0.0221,0.0461,0.0511,0.0874,0.1912,0.2304,0.252,0.1335,0.0019,0.1634,0.0958,0.2694,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-10-07,10SFH,0.0212,0.0159,0.0394,0.0438,0.0807,0.187,0.2316,0.245,0.1016,0.001,0.147,0.0835,0.2658,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-10-12,10SFH,0.0226,0.0239,0.0468,0.0521,0.0908,0.1839,0.2254,0.2447,0.1548,0.0039,0.1614,0.1017,0.2588,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-10-17,10SFH,0.0161,0.0148,0.0287,0.0336,0.0579,0.1318,0.1643,0.1749,0.0483,0.0078,0.0903,0.0553,0.1948,200.0,0b11001000,0b11,High aerosol,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-10-22,10SFH,0.0222,0.0175,0.0411,0.0487,0.0798,0.1699,0.2146,0.24,0.0734,0.0012,0.1458,0.0831,0.2563,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2017-10-27,10SFH,0.0225,0.0186,0.0395,0.0507,0.0829,0.1667,0.2065,0.2228,0.0672,0.0009,0.1506,0.0856,0.247,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
